"SmbTowaru";"Producent";"Procesor";"Matryca";"SystemOperacyjny";"Cena"
"01FA";"Fujitsu";"AMD Sempron";15,60;"Vista Home Premium";2214,50
"02FI";"Fujitsu";"Intel Core 2 Duo";15,60;"Windows 7 Home Premium";2105,22
"03LA";"Lenovo";"AMD Athlon";15,60;"Vista Business";2566,93
"04PA";"Philips";"AMD Athlon";15,60;"Windows 7 Home Premium";3030,21
"05LI";"Lenovo";"Intel Core i3";17,30;"Windows 7 Home Premium";2217,65
"06SI";"Samsung";"Intel Core 2 Duo";15,60;"Windows 7 Home Premium";2483,08
"07LA";"Lenovo";"AMD Sempron";15,60;"Vista Business";2139,00
"08AA";"Acer";"AMD Phenom II";17,30;"Windows 7 Professional";2241,75
"09FI";"Fujitsu";"Intel Core i3";15,60;"Vista Home Premium";2144,01
"10DA";"Dell";"AMD Sempron";15,40;"Windows 7 Home Premium";1526,50
"11FA";"Fujitsu";"AMD Sempron";15,40;"Windows 7 Home Premium";2408,00
"12AA";"Acer";"AMD Sempron";15,60;"Windows 7 Professional";2768,50
"13HI";"HP";"Intel Core i7";15,40;"Vista Home Premium";3612,50
"14SA";"Samsung";"AMD Sempron";15,40;"Windows 7 Professional";2749,50
"15LI";"Lenovo";"Intel Core 2 Duo";17,30;"bez systemu";3248,70
"16SA";"Samsung";"AMD Phenom II";15,60;"bez systemu";2221,77
"17HI";"HP";"Intel Core i7";15,60;"Windows 7 Professional";3534,00
"18AA";"Acer";"AMD Phenom II";17,30;"Vista Business";3151,29
"19DI";"Dell";"Intel Core 2 Duo";15,60;"Windows 7 Home Premium";2078,23
"20SI";"Samsung";"Intel Core i7";15,40;"Vista Home Premium";3442,50
"21PI";"Philips";"Intel Core 2 Duo";15,40;"bez systemu";1724,25
"22FA";"Fujitsu";"AMD Sempron";17,30;"Windows 7 Home Premium";1927,00
"23FA";"Fujitsu";"AMD Athlon";17,30;"Vista Home Premium";1691,28
"24FA";"Fujitsu";"AMD Sempron";17,30;"Windows 7 Home Premium";2890,50
"25PI";"Philips";"Intel Core 2 Duo";15,60;"Vista Business";2776,49
"26HA";"HP";"AMD Athlon";17,30;"Vista Business";2049,18
"27AI";"Asus";"Intel Core i7";15,60;"bez systemu";4606,50
"28HI";"HP";"Intel Core i5";15,60;"Vista Business";2519,16
"29AI";"Asus";"Intel Core i5";17,30;"bez systemu";2584,06
"30FI";"Fujitsu";"Intel Core i5";15,60;"Vista Business";3448,85
"31SI";"Samsung";"Intel Core i3";15,40;"Windows 7 Professional";1930,66
"32PI";"Philips";"Intel Core i5";15,60;"Windows 7 Professional";4062,21
"33PI";"Philips";"Intel Core i5";15,60;"Windows 7 Home Premium";2477,16
"34PI";"Philips";"Intel Core i7";15,60;"bez systemu";5021,50
"35LA";"Lenovo";"AMD Phenom II";15,60;"Vista Home Premium";3029,13
