"NrZamowienia";"SmbTowaru";"Ilosc"
1;"23FA";6
2;"12AA";8
3;"94SA";8
4;"58PI";1
5;"11FA";2
5;"89DA";10
5;"08AA";1
5;"92SI";8
6;"58PI";10
6;"23FA";3
6;"28HI";3
6;"27AI";4
7;"23FA";3
8;"31SI";10
9;"34PI";4
10;"37LI";2
10;"38HA";4
11;"42PI";2
11;"40AI";4
12;"10DA";3
13;"50FI";9
13;"51LA";7
13;"52DA";9
13;"53FI";8
14;"61HA";3
15;"63AI";2
15;"66LI";8
16;"70LI";8
17;"71SI";7
18;"72FI";9
18;"73FI";4
19;"74AI";7
19;"75AA";2
20;"76SA";9
21;"77PI";4
22;"70LI";7
22;"71SI";2
22;"72FI";5
22;"73FI";10
22;"74AI";10
23;"80SI";7
23;"81PI";5
24;"82LA";6
25;"83SA";10
26;"84AI";2
26;"17HI";2
27;"18AA";8
27;"19DI";5
28;"20SI";2
29;"21PI";7
30;"25PI";3
30;"26HA";4
31;"80SI";3
32;"81PI";11
33;"82LA";9
33;"83SA";8
34;"84AI";4
35;"85AI";9
35;"90PA";8
35;"91AI";5
36;"92SI";5
37;"93DA";4
38;"94SA";5
38;"99SI";3
39;"98FA";6
39;"11FA";2
39;"12AA";2
40;"13HI";9
41;"14SA";9
42;"15LI";8
42;"16SA";2
43;"99SI";10
43;"98FA";7
43;"97FI";2
44;"85AI";6
44;"86AI";5
45;"87SA";3
46;"65FI";2
47;"66LI";7
48;"67FI";2
48;"60FI";6
48;"52DA";2
49;"53FI";8
49;"55FI";5
50;"18AA";6
50;"03LA";3
50;"02FI";10
1;"01FA";2
1;"05LI";2
1;"07LA";3
1;"09FI";2
2;"22FA";2
2;"24FA";4
2;"29AI";2
2;"30FI";2
2;"32PI";4
3;"33PI";2
3;"35LA";3
3;"36LA";3
3;"39PI";2
3;"41FI";5
10;"43SI";3
10;"44HI";3
10;"45HI";2
10;"46FA";7
19;"47HI";2
19;"48FA";3
19;"49SI";3
26;"54SA";3
26;"56LI";4
26;"57AA";5
26;"59AI";6
42;"62SA";2
42;"64PA";3
42;"68DA";3
43;"69AI";4
47;"88SI";2
47;"95AI";2
47;"96HA";2
