"NrZamowienia";"Data";"NrKlienta";"Zrealizowano"
1;2015-11-21 00:00:00;33;"Tak"
2;2015-3-23 00:00:00;6;"Tak"
3;2015-5-6 00:00:00;44;"Tak"
4;2015-5-8 00:00:00;36;"Nie"
5;2015-10-23 00:00:00;12;"Tak"
6;2015-6-15 00:00:00;40;"Tak"
7;2015-9-26 00:00:00;14;"Nie"
8;2015-8-14 00:00:00;37;"Tak"
9;2015-7-2 00:00:00;40;"Tak"
10;2015-1-10 00:00:00;40;"Tak"
11;2015-8-16 00:00:00;9;"Tak"
12;2015-10-2 00:00:00;5;"Nie"
13;2015-6-14 00:00:00;17;"Nie"
14;2015-9-25 00:00:00;38;"Tak"
15;2015-10-5 00:00:00;5;"Tak"
16;2015-4-20 00:00:00;1;"Tak"
17;2015-1-17 00:00:00;11;"Tak"
18;2015-3-15 00:00:00;39;"Tak"
19;2015-3-9 00:00:00;5;"Tak"
20;2015-2-20 00:00:00;42;"Tak"
21;2015-8-16 00:00:00;3;"Tak"
22;2015-4-19 00:00:00;39;"Tak"
23;2015-10-6 00:00:00;26;"Tak"
24;2015-10-15 00:00:00;11;"Nie"
25;2015-4-16 00:00:00;31;"Nie"
26;2015-12-15 00:00:00;9;"Tak"
27;2015-12-19 00:00:00;44;"Tak"
28;2015-3-18 00:00:00;18;"Tak"
29;2015-5-28 00:00:00;41;"Tak"
30;2015-1-8 00:00:00;30;"Tak"
31;2015-5-13 00:00:00;25;"Nie"
32;2015-9-13 00:00:00;41;"Tak"
33;2015-4-9 00:00:00;28;"Tak"
34;2015-7-5 00:00:00;20;"Nie"
35;2015-3-5 00:00:00;8;"Tak"
36;2015-2-4 00:00:00;20;"Tak"
37;2015-5-26 00:00:00;34;"Tak"
38;2015-7-5 00:00:00;36;"Tak"
39;2015-4-14 00:00:00;25;"Tak"
40;2015-5-10 00:00:00;20;"Tak"
41;2015-5-8 00:00:00;9;"Tak"
42;2015-4-8 00:00:00;45;"Tak"
43;2015-7-22 00:00:00;28;"Tak"
44;2015-3-18 00:00:00;26;"Tak"
45;2015-1-5 00:00:00;29;"Tak"
46;2015-6-26 00:00:00;32;"Tak"
47;2015-8-22 00:00:00;26;"Tak"
48;2015-3-31 00:00:00;44;"Tak"
49;2015-3-3 00:00:00;45;"Tak"
50;2015-3-6 00:00:00;12;"Tak"
