"id_org";"nazwa";"rok_zalozenia";"miejscowosc";"id_kraju";"id_rodzaju";"id_statusu";"www";"email"
1;"Towarzystwo Fryderyka Chopina w Tiranie";1995;"Tirana";1;1;1;;"anita.tartari@hotmail.com"
2;"Towarzystwo Przyjaźni Albańsko-Polskiej w Tiranie";1991;"Tirana";1;1;1;;
3;"Zakon Braci Mniejszych Konwentualnych (Franciszkanie Konwentualni) w Albanii";2011;"Fier";1;3;1;"http://www.katolikfier.com";"kishafier@gmail.com"
4;"Stowarzyszenie Arabia Felix w Rijad";2013;"Rijad";2;1;1;"www.arabiafelix.org.pl";
5;"Głos Polski";1922;"Buenos Aires";3;7;1;"www.upranet.com.ar";"glospolski@gmail.com"
6;"Biblioteka Polska im. Ignacego Domeyki w Buenos Aires";1960;"Buenos Aires";3;5;1;"www.bibliotecadomeyko.com.ar";
7;"Centrum Kulturalne i Towarzyskie Rzeczpospolita Polska w Chaco";2008;"Resistencia";3;1;1;;"centroculturalpolonia@yahoo.com.ar"
8;"Centrum Pamięci Bohaterów Polskich w Argentynie";2004;"Buenos Aires";3;4;1;"www.polish-heroes.org";"polishheroes@fibertel.com.ar"
9;"Fundacja Bronisławy Kruchowskiej z Szychowskich";1989;"Posadas";3;1;1;"www.yerbamanda.com.ar/en/fundacion.php";"fundacionbks@grupoamanda.com.ar"
10;"Klasztor Bernardynów (Prowincja Niepokalanego Poczęcia NMP) pw. Matki Bożej Królowej Polski w Martin Coronado";1958;"Martin Coronado";3;3;1;"www.maciaszkowo.com.ar";"rektorpmk@arnet.com.ar"
11;"Muzeum Historyczne Juana Szychowskiego w La Cachuera";1997;"La Cachuera";3;5;1;"www.yerbamanda.com.ar/en/museo.php";"museojs@grupoamanda.com.ar"
12;"Polonia Futbol Club Argentyna";2006;"Burzaco";3;1;1;"www.poloniafc.com.ar";"info@poloniafc.com.ar"
13;"Polska Misja Katolicka w Argentynie";1951;"Martin Coronado";3;3;1;"www.pmk.org.pl";"rektorpmk@fibertel.com.ar"
14;"Polska Szkoła Sobotnia im. Tysiąclecia Chrztu Polski w Martin Coronado";1962;"Martin Coronado";3;4;1;;"szkola.tys@gmail.com"
15;"Polski Dom Spokojnej Starości im. św. Jana Pawła II w Martin Coronado";1981;"Martin Coronado";3;4;1;"www.albertynki.pl/domy.php";
16;"Polskie Stowarzyszenie Absolwentów (PSA) w Buenos Aires";1987;"Buenos Aires";3;1;1;"http://graduadospolacos.blogspot.com/";"graduadospolacos@gmail.com"
17;"Siostry Dominikanki Misjonarki Jezusa i Maryi (Dominikanki Misjonarki) w Argentynie";1973;"Wanda";3;3;2;"www.dominikanki-misjonarki.org";
18;"Stowarzyszenie Nueva Polonia w Córdoba";2012;"Córdoba";3;1;1;;"nowa_polonia@hotmail.com"
19;"Stowarzyszenie Polaków w Mar del Plata im. Św. Maksymiliana Kolbe w Mar del Plata";1963;"Mar del Plata";3;1;1;"http://cinepolaco.com";"contacto@cinepolaco.com"
20;"Stowarzyszenie Polskich Kombatantów w Argentynie";1954;"Buenos Aires";3;1;1;;"spk.argentina@hotmail.com"
21;"Stowarzyszenie Polskie Dom Polski w Comodoro Rivadavia";1922;"Comodoro Rivadavia";3;1;1;"www.dompolski.blogspot.com";"inespola@gmail.com"
22;"Stowarzyszenie Polskie w San Martin";1949;"San Martín";3;1;1;;"polonesasanmartin@gmail.com"
23;"Szkoła Języka i Kultury Polskiej w Comodoro Rivadavia";2009;"Comodoro Rivadavia";3;4;1;"www http://dom-polski.blogspot.com";
24;"Szkoła Sobotnia Mikołaj Kopernik w Córdoba";1929;"Córdoba";3;4;1;;"mikolajcopernikcba@yahoo.com.ar"
25;"Towarzystwo Demokratyczne Polskie w Buenos Aires";1890;"Buenos Aires";3;1;2;"www.argentyna.ugu.pl";
26;"Unia Polska w Berisso";1913;"Berisso";3;1;1;;"unionpolacaenberisso@hotmail.com"
27;"Zgromadzenie Córek Bożej Miłości w Argentynie";2012;"Tres Isletas";3;3;1;"http://www.cbm.livenet.pl/a/index.php/nasze-zgromadzenie/nasze-domy";
28;"Zgromadzenie Najświętszego Odkupiciela (Redemptoryści) w Argentynie - Wiceprowincja Resistencia";1955;"Resistencia";3;3;1;"www.redemptor.pl";
29;"Zgromadzenie Sióstr Zmartwychwstania Pana naszego Jezusa Chrystusa (Zmartwychwstanki) w Argentynie";1961;"Lanús";3;3;1;"www.colegio-smkolbe.com.ar";"info@colegio-smkolbe.com.ar"
30;"Związek Polaków w Argentynie (UPRA)";1929;"Buenos Aires";3;2;1;"www.upranet.com.ar";"secretaria@upranet.com.ar"
31;"Lehastan.am / Poland.am";2014;"Erywań";4;7;1;"http://lehastan.am/";
32;"Stowarzyszenie Polska Rodzina";2014;"Erywań";4;1;1;;"marzena.aghamyrjan@wp.pl"
33;"Współpraca Polaków Dom Polski";2013;"Giumri";4;1;1;"www.dom-polskiy.ucoz.pl";"dompolskiy@gmail.com"
34;"Związek Polaków w Armenii Polonia";1996;"Erywań";4;1;1;"www.polonia.am";"polonia@r.am"
35;"Ekspress Australijski Australia's Polish Newspaper";1993;"Silverwater";5;7;1;"www.ewpl.com.au";"ekspres@ewpl.com.au"
36;"Kraj Niezależny Magazyn Polski w Brisbane";1999;"Brisbane";5;7;2;"www.beddoes.w.interia.pl";
37;"Kronika Polonii (Polish Chronicle)";1984;"Canberra";5;7;1;"www.plcouncilact.org.au";"kronikapolonii@hotmail.com"
38;"Kultura Connect Magazine";2009;"Sydney";5;7;1;"http://kosciuszkoheritage.com/kulturaconnect/home.html";
39;"Kurier Zachodni";1987;"Mt. Hawthorn";5;7;2;"www.kurier.iinet.net.au/FS_Kurier_Zachodni.html";
40;"Obiektyw Polonijny";2014;"Sydney";5;7;1;"http://obiektywpolonijny.com/";
